Destination Country,Destination Station,IWT Risk,Origin Country,Origin Station,Route Type
Algeria,ALG,N,Canada,YUL,PAX
Antigua & Barbuda,ANU,N,Canada,YUL,PAX
Antigua & Barbuda,ANU,N,Canada,YYZ,PAX
Argentina,EZE,Y,Brazil,GRU,PAX
Aruba,AUA,N,Canada,YYZ,PAX
Australia,BNE,N,Canada,YVR,PAX
Australia,SYD,N,Canada,YVR,PAX
Austria,VIE,N,Canada,YYZ,PAX
Bahamas,GGT,N,Canada,YYZ,PAX
Bahamas,NAS,N,Canada,YUL,PAX
Bahamas,NAS,N,Canada,YYZ,PAX
Bahamas,ZSA,N,Canada,YUL,PAX
Barbados,BGI,N,Canada,YUL,PAX
Barbados,BGI,N,Canada,YYZ,PAX
Belgium,BRU,N,Canada,YUL,PAX
Belgium,BRU,N,Canada,YYZ,PAX
Belize,BZE,N,Canada,YYZ,PAX
Bermuda,BDA,N,Canada,YYZ,PAX
Brazil,GRU,N,Canada,YUL,PAX
Brazil,GRU,N,Canada,YYZ,PAX
Brazil,GRU,Y,Argentina,EZE,PAX
Canada,YAM,N,Canada,YYZ,PAX
Canada,YBG,N,Canada,YUL,PAX
Canada,YCD,N,Canada,YVR,PAX
Canada,YCD,N,Canada,YYC,PAX
Canada,YCD,N,Canada,YYZ,PAX
Canada,YCG,N,Canada,YVR,PAX
Canada,YCG,N,Canada,YYC,PAX
Canada,YDF,N,Canada,YHZ,PAX
Canada,YDF,N,Canada,YUL,PAX
Canada,YDF,N,Canada,YYZ,PAX
Canada,YEG,N,Canada,YUL,PAX
Canada,YEG,N,Canada,YVR,PAX
Canada,YEG,N,Canada,YYC,PAX
Canada,YEG,N,Canada,YYZ,PAX
Canada,YEG,N,Canada,YZF,PAX
Canada,YEG,N,United States,SFO,PAX
Canada,YEG,Y,Mexico,CUN,PAX
Canada,YFC,N,Canada,YUL,PAX
Canada,YFC,N,Canada,YYZ,PAX
Canada,YGR,N,Canada,YUL,PAX
Canada,YHZ,N,Canada,YDF,PAX
Canada,YHZ,N,Canada,YOW,PAX
Canada,YHZ,N,Canada,YQX,PAX
Canada,YHZ,N,Canada,YUL,PAX
Canada,YHZ,N,Canada,YVR,PAX
Canada,YHZ,N,Canada,YYC,PAX
Canada,YHZ,N,Canada,YYR,PAX
Canada,YHZ,N,Canada,YYT,PAX
Canada,YHZ,N,Canada,YYZ,CARGO
Canada,YHZ,N,Canada,YYZ,PAX
Canada,YHZ,N,Dominican Republic,PUJ,PAX
Canada,YHZ,N,United Kingdom,LHR,PAX
Canada,YHZ,N,United States,BOS,PAX
Canada,YHZ,N,United States,EWR,PAX
Canada,YHZ,N,United States,MCO,PAX
Canada,YHZ,N,United States,TPA,PAX
Canada,YHZ,Y,Mexico,CUN,PAX
Canada,YKA,N,Canada,YVR,PAX
Canada,YKA,N,Canada,YYC,PAX
Canada,YLW,N,Canada,YUL,PAX
Canada,YLW,N,Canada,YVR,PAX
Canada,YLW,N,Canada,YYC,PAX
Canada,YLW,N,Canada,YYZ,PAX
Canada,YMM,N,Canada,YYC,PAX
Canada,YMM,N,Canada,YYZ,PAX
Canada,YOW,N,Canada,YHZ,PAX
Canada,YOW,N,Canada,YQB,PAX
Canada,YOW,N,Canada,YTZ,PAX
Canada,YOW,N,Canada,YUL,PAX
Canada,YOW,N,Canada,YVR,PAX
Canada,YOW,N,Canada,YWG,PAX
Canada,YOW,N,Canada,YYC,PAX
Canada,YOW,N,Canada,YYZ,PAX
Canada,YOW,N,District of Columbia,DCA,PAX
Canada,YOW,N,Dominican Republic,PUJ,PAX
Canada,YOW,N,United States,EWR,PAX
Canada,YOW,N,United States,FLL,PAX
Canada,YOW,N,United States,MCO,PAX
Canada,YOW,N,United States,TPA,PAX
Canada,YOW,Y,Mexico,CUN,PAX
Canada,YPR,N,Canada,YVR,PAX
Canada,YQB,N,Canada,YOW,PAX
Canada,YQB,N,Canada,YUL,PAX
Canada,YQB,N,Canada,YVR,PAX
Canada,YQB,N,Canada,YYC,PAX
Canada,YQB,N,Canada,YYZ,PAX
Canada,YQB,N,Cuba,VRA,PAX
Canada,YQB,N,Dominican Republic,PUJ,PAX
Canada,YQB,N,United States,FLL,PAX
Canada,YQB,N,United States,MCO,PAX
Canada,YQB,Y,Mexico,CUN,PAX
Canada,YQG,N,Canada,YYZ,PAX
Canada,YQM,N,Canada,YUL,PAX
Canada,YQM,N,Canada,YYZ,PAX
Canada,YQQ,N,Canada,YVR,PAX
Canada,YQR,N,Canada,YVR,PAX
Canada,YQR,N,Canada,YXE,PAX
Canada,YQR,N,Canada,YYC,PAX
Canada,YQR,N,Canada,YYZ,PAX
Canada,YQT,N,Canada,YYZ,PAX
Canada,YQU,N,Canada,YYC,PAX
Canada,YQX,N,Canada,YHZ,PAX
Canada,YQX,N,Canada,YUL,PAX
Canada,YQX,N,Canada,YYZ,PAX
Canada,YQY,N,Canada,YUL,PAX
Canada,YQY,N,Canada,YYZ,PAX
Canada,YSB,N,Canada,YYZ,PAX
Canada,YSJ,N,Canada,YUL,PAX
Canada,YSJ,N,Canada,YYZ,PAX
Canada,YTS,N,Canada,YYZ,PAX
Canada,YTZ,N,Canada,YOW,PAX
Canada,YTZ,N,Canada,YUL,PAX
Canada,YUL,N,Algeria,ALG,PAX
Canada,YUL,N,Antigua & Barbuda,ANU,PAX
Canada,YUL,N,Bahamas,NAS,PAX
Canada,YUL,N,Bahamas,ZSA,PAX
Canada,YUL,N,Barbados,BGI,PAX
Canada,YUL,N,Belgium,BRU,PAX
Canada,YUL,N,Canada,YBG,PAX
Canada,YUL,N,Canada,YDF,PAX
Canada,YUL,N,Canada,YEG,PAX
Canada,YUL,N,Canada,YFC,PAX
Canada,YUL,N,Canada,YGR,PAX
Canada,YUL,N,Canada,YHZ,PAX
Canada,YUL,N,Canada,YLW,PAX
